duration,artist_familiarity,artist_hotttnesss,tempo,loudness,key,time_signature,end_of_fade_in,mode,start_of_fade_out,song_hotttnesss
218.93179,0.581793766,0.401997543,92.198,11.197,1,4,0.247,0,218.932,0.60211999
209.60608,0.651045661,0.401723686,129.738,4.501,2,4,0.066,1,198.699,0.604500739
269.81832,0.426667857,0.332275747,86.643,13.496,4,4,5.3,1,258.99,0.265861049
245.21098,0.545159296,0.351555861,117.975,7.545,7,4,0.357,1,227.48,0.265861049
191.84281,0.085512047,0.251936525,137.334,7.75,10,1,0.38,0,188.424,0.24
491.12771,0.636423645,0.44793548,119.826,8.576,7,4,0,1,486.034,0.405115722
228.5971,0.419943148,0.330806357,127.756,16.11,8,5,0.223,1,217.426,0.334706549
290.29832,0.707199764,0.51346329,150.062,5.271,7,4,0.145,1,285.605,0.684136191
269.58322,0.677420465,0.378254686,111.874,8.05,2,4,0,1,256.168,0.313562114
207.77751,0.839962768,0.541888972,166.862,4.264,7,4,0.061,1,204.696,0.666527846
124.86485,0.435415818,0.306242264,137.522,12.332,10,4,0,1,115.74,0.495293621
225.09669,0.6090637,0.363651365,164.672,5.908,7,1,0,1,225.097,0.375984302
342.56934,0.706827671,0.416173065,110.189,11.939,6,3,0.063,1,333.154,0.413739836
484.62322,0.560557984,0.452789477,138.007,15.335,4,4,28.172,0,480.363,0.377531645
164.80608,0.640807102,0.418216518,130.1,10.922,10,1,0,1,156.177,0.443291312
450.84689,0.809323793,0.488019842,130.586,9.063,4,4,0.467,0,426.104,0.593943076
128.83546,0.597541218,0.382651971,90.932,17.699,3,3,0,1,121.423,0.394394856
198.73914,0.527865076,0.393121934,115.061,7.469,7,4,0,1,193.016,0.450992312
95.68608,0.668674533,0.467538444,115.887,2.022,2,4,0,1,87.806,0.528782481
271.49016,0.814829656,0.735765693,139.333,10.358,9,1,0.171,0,263.784,0.83449262
190.48444,0.661080168,0.442765842,102.428,15.663,3,4,0.258,1,177.029,0.510119314
277.78567,0.701180874,0.466628889,89.984,6.944,2,4,0.24,1,267.453,0.482137585
175.72526,0.665322162,0.394217199,141.919,10.93,0,4,0.734,1,168.699,0.785892288
344.05832,0.717670525,0.479308459,154.953,9.253,11,1,0.068,1,335.029,0.561692411
251.42812,0.669726188,0.427914247,86.091,12.009,7,5,0.071,1,237.598,0.43483809
269.7922,0.569741152,0.412240601,90.218,11.043,7,4,0.218,1,257.416,0.405115722
241.162,0.643182773,0.500691341,180.149,8.531,9,4,0.549,1,230.342,0.767727748
122.64444,0.411421048,0.338414818,102.538,8.541,0,4,0.99,0,109.627,0.43483809
207.0722,0.75100762,0.523699078,84.164,6.629,0,4,2.583,1,202.757,0.38293509
300.79955,0.54858513,0.383524247,124.175,13.33,7,4,0,1,298.347,0.610474258
228.46649,0.749317801,0.481655862,137.004,12.412,7,1,0,1,228.466,0.226555314
239.59465,0.631946666,0.380704536,106.33,21.552,7,4,0.311,1,236.507,0.415983118
187.92444,0.845768866,0.788805935,116.823,5.907,0,4,0.328,1,180.344,0.685940227
144.50893,0.778816717,0.554291489,152.622,7.787,4,4,0.237,0,140.057,0.671236027
246.69995,0.711165787,0.466826993,112.903,9.603,7,4,0.322,1,224.049,0.62616576
273.52771,0.400433513,0.266275286,125.013,6.305,1,4,2.177,1,268.893,0.199238262
298.84036,0.477364752,0.337507289,113.277,9.998,5,4,19.093,1,289.46,0.265861049
161.38404,0.617870116,0.36366811,96.979,9.161,5,4,0.165,0,161.384,0.237733942
209.29261,0.744641246,0.579988982,140.995,4.865,8,1,0,1,206.623,0.82448213
229.61587,0.845601887,1.005941966,105.206,4.882,11,4,0,0,213.664,0.624425493
426.89261,0.905776889,0.598458501,63.017,12.951,0,4,0.286,0,399.9,0.635536649
249.41669,0.408389022,0.139247394,167.92,6.693,2,4,0.647,1,238.434,0.198785349
187.24526,0.481004583,0.335651839,183.92,4.42,1,1,0.107,1,178.625,0.249065795
194.11546,0.449323615,0.343281882,82.343,15.581,5,1,0.089,1,182.729,0.382723281
288.41751,0.798645179,0.552413346,115.606,8.165,2,4,0.113,1,279.179,0.725121284
283.76771,0.605109702,0.398547535,113.677,8.7,2,4,0,1,271.83,0.665172241
239.3073,0.454043995,0.421415103,86.938,5.758,2,4,0.182,1,220.264,0.554654767
206.75873,0.543516131,0.404182207,141.936,4.907,0,4,0.096,1,193.115,0.304169503
124.18567,0.743129776,0.493566843,85.008,10.296,1,5,0,0,121.005,0.57010593
134.08608,0.13818761,0.31781096,133.699,12.839,4,1,4.441,0,130.38,0.24
443.24526,0.428375417,0.317833879,45.527,13.002,1,4,0.23,1,430.736,0.270775999
324.44036,0.559278494,0.432011947,216.195,11.829,7,5,0,1,312.239,0.405115722
275.12118,0.438887475,0.325148571,132.428,6.29,7,4,0.34,1,272.933,0.242741879
294.66077,0.57810363,0.414892612,168.307,15.761,5,4,0.864,0,282.564,0.386790177
357.82485,0.541975108,0.384184258,130.016,5.701,1,5,0.131,1,353.785,0.511254835
198.3473,0.683719468,0.412671631,175.769,8.709,11,4,0.201,0,182.184,0.460484845
261.95546,0.614870934,0.628246419,100.194,13.627,7,3,0,1,253.452,0.488289876
329.27302,0.790922848,0.601184942,116.473,7.103,8,4,0.45,1,322.101,0.345802234
198.922,0.45466819,0,126.821,13.495,9,4,0.228,0,190.705,0.333554807
283.21914,0.657406765,0.422472423,111.191,15.144,2,3,0.258,1,277.467,0.617365618
254.06649,0.652367864,0.437964733,137.888,6.01,4,1,0.43,0,249.562,0.394394856
162.53342,0.624723768,0.403509673,173.482,17.285,2,4,0.524,1,151.551,0.374796837
338.33751,0.573605491,0.372251208,130.027,14.248,2,4,0,0,328.986,0.265861049
126.51057,0.555985053,0.326848818,110.168,12.651,11,4,0,1,121.702,0.233796474
193.4624,0.662649695,0.363177861,119.979,5.913,0,4,2.717,0,184.274,0.215080319
292.8322,0.70334944,0.498395338,133.306,4.953,9,4,3.344,1,273.589,0.466304831
241.10975,0.434272037,0.301502462,152.267,18.114,4,3,2.659,1,230.429,0.480610618
270.68036,0.733714696,0.459665457,166.275,11.061,1,4,0.334,1,267.906,0.26568338
301.81832,0.661001337,0.446890727,61.971,8.095,10,1,2.566,0,289.332,0.345802234
416.80934,0.830252262,0.507965802,124.04,7.982,6,5,0,0,396.533,0.82517354
217.36444,0.833178561,0.682263177,100.023,5.152,10,4,0.224,0,212.161,0.73738531
203.98975,0.604820432,0.383877494,154.322,11.976,11,4,0.161,0,182.921,0.47212112
285.36118,0.441593442,0.382869956,150.666,6.284,11,5,0,1,274.715,0.392008771
204.06812,0.669500125,0.544446277,160.165,5.157,6,4,0.415,1,193.562,0.236420182
127.9473,0.530605798,0.350327605,135.78,12.717,0,4,0.165,1,123.222,0.444401715
